STC,DCArrayOutput_W_,Vmp,Imp,CellTemperature_C_,PlaneOfArrayIrradiance_W_m_2_,Fill Factor,Gamma,Pmp,Voc,Isc,,
1,11447.1,34.8889778,3.46328576,43.27,703.798,1.909968702,0.171683494,120.8305,43.703544,5.280635211,,
1,13066.269,34.01397598,4.05485464,48.957,821.721,1.567185166,0.16784496,137.9217283,43.01642048,5.024799468,,
1,13747.635,33.52085468,4.329063993,52.162,878.042,1.694802814,0.165269913,145.113925,45.36799342,5.420991096,,
1,13706.104,34.4097039,4.20449832,46.385,849.698,1.397535846,0.170267015,144.6755422,44.12852087,4.581827178,,
1,12238.099,34.84682016,3.707079535,43.544,751.26,1.691756102,0.171951034,129.1799339,43.71448595,4.999279682,,
1,9215.403,35.00483438,2.778864693,42.517,572.054,2.561642772,0.17004286,97.27369833,45.37660986,5.491385694,,
1,5448.875,36.8045348,1.562739567,30.82,336.494,3.915468081,0.170926979,57.51590278,44.35781303,5.076933827,,
1,1116.343,36.48850636,0.322940611,17.126,72.41,20.18814219,0.162734713,11.78362056,44.01860604,5.404292154,,
1,4435.908,36.35049394,1.288111061,16.229,263.789,5.139237043,0.17750351,46.82347333,44.80022711,5.371332785,,
1,8747.747,37.19472376,2.482538385,28.284,511.023,2.205668907,0.180691142,92.33732944,43.44046262,4.688384153,,
1,11816.976,35.68889594,3.495057591,38.071,707.596,1.9309351,0.17627961,124.7347467,44.8955024,5.364784614,,
1,13385.774,34.78404528,4.062042812,43.952,820.023,1.735314799,0.172305266,141.2942811,45.24211543,5.419509116,,
1,14002.615,34.36493064,4.301052783,46.676,868.589,1.487208715,0.170167226,147.8053806,44.84836307,4.901348343,,
1,13475.83,34.32231142,4.144384989,46.953,837.822,1.590685793,0.169779347,142.2448722,43.06803453,5.25370846,,
1,12087.172,34.73788728,3.672843271,44.252,744.618,1.815387864,0.171345328,127.5868156,44.37461103,5.219641394,,
1,9094.783,34.89420904,2.751186798,43.236,566.44,2.193679846,0.169480417,96.00048722,43.21573473,4.873093916,,
1,5358.44,36.6876012,1.541700991,31.58,331.968,4.099803025,0.170381817,56.56131111,43.13248921,5.376231204,,
1,1152.501,36.65159796,0.331916997,18.186,75.375,17.83961679,0.16139686,12.16528833,44.48291305,4.878819015,,
1,1126.039,35.47718458,0.335031299,10.553,58.58,19.69008773,0.202901455,11.88596722,44.60470876,5.246884104,,
1,612.408,35.88429814,0.180143043,13.199,32.235,38.4281486,0.200536891,6.464306667,47.20651172,5.262226082,,
1,4916.574,37.07178962,1.399910027,20.917,268.669,4.600692531,0.193163968,51.89717,43.1567352,5.532460259,,
1,5094.33,37.52352258,1.433060641,23.853,281.674,4.101446148,0.190906805,53.77348333,43.69746509,5.047181699,,
1,2296.786,37.10717742,0.653346708,21.147,125.33,9.922121947,0.193440136,24.24385222,43.82014929,5.489494265,,
1,2660.88,37.24349738,0.754146862,22.033,145.794,8.036760853,0.192648989,28.08706667,44.49085402,5.073605415,,
